150
7 30
10 0 10
20 0 10
5 8 21
15 7 20
25 9 22
10 20 30
20 20 30
1 965
82 77 965
14 312
41 0 295
7 28 312
40 78 238
60 33 312
33 87 312
37 203 312
71 12 298
79 109 236
74 0 222
3 21 312
66 0 290
70 0 204
48 158 312
26 93 312
39 610
96 0 171
72 149 315
125 428 610
26 0 539
106 0 544
65 160 610
92 0 591
24 0 329
66 0 528
124 1 610
67 46 610
41 0 549
97 0 425
137 0 597
75 0 338
129 146 459
77 0 540
6 0 568
107 24 610
53 0 575
85 295 610
127 0 461
99 52 610
133 125 468
103 0 543
83 0 490
22 104 610
94 216 610
1 129 610
113 0 312
78 0 531
12 0 543
4 0 233
37 310 610
108 0 475
125 0 418
47 369 610
63 199 444
4 234 610
2 4
0 0 3
1 1 4
9 771
10 0 522
6 0 766
17 276 771
34 79 771
11 0 627
21 43 215
2 0 397
26 292 771
13 30 771
27 82
1 24 82
3 0 79
24 0 63
20 41 77
25 35 82
0 0 28
11 22 82
18 0 69
21 2 82
10 4 82
4 25 82
9 0 41
37 44 82
2 48 82
27 7 82
34 21 37
14 7 82
32 0 67
12 19 82
30 0 51
28 20 82
6 30 82
19 4 49
15 28 82
16 28 79
23 0 77
26 40 82
37 582
13 77 582
21 0 240
32 5 582
18 0 537
55 78 582
9 226 367
6 240 582
40 0 393
28 405 582
16 0 406
8 128 582
17 0 481
22 0 463
49 156 582
33 0 429
36 353 582
3 0 556
51 209 469
42 219 582
52 0 428
58 18 582
26 103 582
59 149 361
39 0 343
0 0 582
41 92 466
47 303 570
43 215 582
4 0 510
1 0 531
24 39 582
14 78 582
45 191 391
34 5 582
46 148 382
25 0 267
30 155 526
43 644
4 0 488
39 0 558
80 162 644
28 0 640
49 99 644
95 237 644
2 0 412
123 0 558
31 107 644
97 480 644
121 139 644
32 0 307
133 0 611
35 82 413
11 0 405
34 0 630
88 0 322
104 0 617
43 185 630
37 0 461
68 206 644
41 23 410
103 47 184
65 215 644
102 0 629
147 0 468
134 166 352
25 213 500
22 0 390
29 62 644
44 0 499
3 180 644
5 63 644
136 276 644
81 0 302
148 0 283
19 0 231
61 0 612
59 6 644
7 23 644
45 93 465
84 0 239
98 0 282
45 321
33 3 321
53 0 214
32 89 321
71 188 300
8 3 221
13 184 321
60 0 259
7 0 142
12 74 308
20 26 291
28 117 321
30 0 222
21 34 321
50 0 105
47 0 194
10 59 321
51 108 321
85 66 321
44 167 321
27 71 214
81 46 321
62 87 321
35 67 321
18 118 321
19 165 321
66 0 255
26 0 113
29 0 198
24 0 251
0 4 181
63 0 292
3 0 311
69 0 147
72 0 214
88 98 321
36 0 182
57 41 321
2 0 147
4 41 321
19 43 148
87 55 160
43 0 321
65 83 321
45 0 232
76 0 179
28 440
67 0 341
23 0 287
28 0 346
88 126 271
50 90 440
39 94 194
74 0 250
52 103 440
85 17 381
8 172 344
6 92 381
45 0 194
89 0 310
63 0 151
43 83 440
65 216 440
46 117 355
58 0 336
19 188 302
11 50 142
1 88 440
81 104 356
29 150 440
5 0 425
30 125 440
70 83 372
7 0 279
55 300 398
29 197
79 0 99
18 45 197
49 0 150
60 69 144
36 30 197
17 23 110
93 0 163
42 83 197
23 0 151
69 22 68
74 0 132
1 98 197
33 137 197
40 3 106
70 0 163
61 0 177
0 60 135
89 0 110
28 27 197
78 0 186
72 0 197
99 117 197
3 137 197
76 27 197
5 0 178
9 0 105
43 0 103
15 0 128
35 10 197
50 96650
100000 69037 96650
25487 0 86237
39640 0 52868
29771 29890 96650
22707 8244 96650
30066 0 53533
55320 16053 96650
87888 0 88982
67877 0 87623
33157 52756 80956
61094 0 94840
94917 8695 86597
64098 13611 96650
35233 10140 96650
57021 0 84064
93234 29203 96650
75342 31997 96650
41840 0 86462
418 22082 96650
15681 41422 96650
29233 0 55240
42599 17018 96650
94142 29713 52961
80948 0 94101
50183 0 86687
18125 38871 96650
29812 31305 96595
95970 14654 96650
91047 0 93274
59496 35224 96650
52807 14419 72171
26683 6478 96650
2970 0 91157
50652 0 78889
11420 20710 96650
2463 0 73200
88708 0 76942
49448 1574 31434
22640 0 95838
48806 10854 96650
59667 32024 96650
69108 0 87094
26785 69041 95222
78582 0 43910
36803 0 87114
57888 0 86823
30038 28416 68768
65727 42994 96650
60454 0 58557
12124 11764 96650
32 151
124 0 95
119 5 151
36 0 103
32 4 151
74 0 133
108 48 151
40 0 139
106 0 139
45 0 86
57 0 87
38 0 134
63 29 151
100 0 105
60 2 151
128 0 36
29 0 98
113 52 125
10 0 143
87 31 151
78 26 151
72 15 151
120 0 135
83 1 151
11 0 146
16 43 151
81 0 94
23 15 121
121 53 144
6 58 151
107 6 151
129 6 50
26 6 151
30 340
83 0 279
52 26 340
5 149 340
6 0 188
69 0 314
78 0 207
66 82 340
97 0 266
23 144 340
84 91 267
11 0 311
22 16 340
71 10 340
63 0 301
2 0 253
10 0 190
29 0 312
24 0 314
93 172 340
39 0 336
87 169 340
55 78 340
18 0 304
79 0 312
82 69 340
90 107 340
37 0 332
94 64 340
9 0 336
96 186 340
36 131
108 19 131
39 33 131
107 0 61
79 93 131
116 0 99
53 0 128
31 58 90
89 52 131
41 0 114
112 0 126
72 0 100
48 33 131
37 16 131
120 80 131
82 0 100
56 37 131
44 0 118
1 0 104
33 27 70
66 0 116
20 0 76
46 35 74
6 20 74
17 69 131
15 55 131
86 11 131
47 87 121
60 3 131
29 8 131
22 2 32
99 2 131
12 0 106
13 0 128
121 27 62
10 72 131
94 0 83
45 344
48 23 255
10 0 267
27 0 342
6 0 286
22 96 210
37 0 178
41 0 265
23 84 344
14 86 173
42 0 127
51 95 344
61 136 249
3 39 344
19 51 344
46 75 344
47 0 301
49 0 239
0 106 344
34 5 344
21 100 344
58 4 107
44 80 344
31 0 268
26 78 344
52 179 325
45 0 133
59 136 344
5 0 274
55 140 344
38 11 344
43 2 344
30 0 321
20 24 300
24 110 344
13 0 164
57 53 344
42 242 332
7 0 280
50 0 280
17 64 199
53 97 344
29 0 280
40 52 344
35 76 344
25 30 344
29 536
62 0 462
43 0 185
44 45 292
80 0 420
29 0 199
84 100 536
74 0 155
41 119 536
51 245 536
16 22 536
21 0 482
58 63 403
12 32 223
87 62 536
59 113 536
0 0 286
72 128 364
61 201 311
30 0 284
56 131 536
85 94 500
25 366 536
63 147 536
50 45 536
34 166 536
90 0 531
26 0 383
9 288 536
19 6 440
13 928
45 62 928
54 0 219
90 49 928
48 51 798
43 0 912
42 299 564
13 0 728
24 412 928
101 0 780
94 65 928
57 16 350
14 0 748
4 0 867
18 14
54 5 14
15 1 14
28 6 14
30 0 6
6 5 14
4 7 14
0 0 11
38 0 13
18 0 13
49 0 9
32 0 12
24 1 14
11 0 8
52 11 14
41 2 14
12 5 14
19 0 7
25 9 14
14 799
18 0 424
22 100 435
8 0 389
36 0 451
9 278 799
26 425 799
23 5 201
16 0 742
47 178 799
11 88 799
21 384 799
43 0 697
15 49 799
7 0 575
44 711
1 16 642
22 190 711
2 138 711
23 0 546
43 63 711
16 0 530
14 201 711
54 136 711
46 0 670
62 212 711
47 0 666
27 160 711
34 139 711
17 140 711
21 0 638
15 288 711
57 0 463
4 0 681
60 0 416
42 41 347
8 0 401
28 80 711
6 0 243
20 311 509
39 231 495
30 0 638
53 22 711
13 49 625
19 0 201
56 89 711
45 436 630
12 186 711
24 136 711
33 0 593
51 0 366
0 375 711
44 237 711
37 0 625
29 0 615
9 402 561
26 0 687
5 0 687
49 0 665
7 0 556
7 20
27 8 20
35 0 18
93 11 20
59 3 20
65 12 20
75 0 16
67 2 20
4 890
52 412 890
24 191 890
99 0 734
97 0 837
46 903
71 239 903
8 0 871
67 0 551
45 0 524
57 0 434
77 0 628
87 0 326
54 0 797
30 448 903
72 423 903
37 29 903
76 562 854
70 108 903
55 0 362
79 0 744
74 0 582
61 248 903
29 0 774
86 489 903
0 0 674
22 102 903
101 0 260
56 90 354
56 613 903
27 0 717
46 57 903
19 0 622
13 26 317
14 20 903
26 4 903
2 0 686
50 0 657
89 106 890
80 159 903
97 0 862
85 460 903
28 63 903
53 118 903
65 0 757
6 414 903
25 161 903
96 0 418
1 0 863
35 0 431
49 0 809
31 0 829
2 597
4 188 553
26 54 372
48 567
71 0 317
57 46 567
48 199 567
88 37 567
15 153 567
10 24 567
58 106 338
37 0 319
79 0 443
65 11 567
75 0 343
74 36 559
6 0 526
27 135 567
91 67 567
67 0 323
86 169 567
49 40 567
76 60 567
19 10 188
38 43 567
32 31 390
2 55 237
4 282 567
13 0 424
56 15 567
92 0 545
14 0 538
2 384 567
9 0 549
18 0 276
34 71 549
55 302 567
94 0 350
52 202 567
83 69 567
60 114 567
54 59 567
5 118 504
22 79 567
68 256 448
16 0 302
51 133 476
81 17 567
50 99 567
29 321 456
39 100 505
53 30 567
19 547
100 188 547
41 57 547
45 110 547
95 0 206
110 13 547
96 82 547
61 193 485
31 0 410
71 141 467
73 0 365
98 250 547
4 0 476
17 216 547
99 117 446
42 0 333
28 0 457
63 0 372
89 292 547
2 67 323
50 95662
100000 0 93203
15939 39408 95662
78233 21417 59680
22573 46808 95662
95680 3718 95662
78760 6616 95662
21630 0 77763
42744 1685 95662
10371 42696 95662
6369 1349 95662
89185 0 75805
91209 34392 95662
76695 3382 95662
54379 0 63756
42216 39621 82781
82123 0 43177
50210 0 95592
63650 36896 95662
40199 0 55491
5220 0 74153
75650 1166 95662
8907 0 64871
91418 0 64500
3037 0 78739
75613 19193 95662
75828 0 90529
530 0 77094
74088 38946 95662
29122 0 56589
90981 0 69076
89895 829 95662
6093 21209 95662
25741 0 36098
18447 0 61571
16632 0 46451
52633 21435 95662
67699 12822 95662
98371 0 58226
51423 57171 95662
95708 0 94894
37474 0 85265
60686 4109 82359
85003 26420 95662
78263 0 92050
42384 0 55804
1308 44365 95662
51979 9998 95662
90596 0 83376
81879 0 77547
84959 33586 82011
19 581
25 223 581
5 0 431
8 360 581
46 0 368
0 84 581
9 101 508
41 383 581
16 110 349
2 240 581
44 0 392
10 0 528
39 139 260
4 56 581
13 0 332
18 86 523
14 14 581
6 0 551
24 0 210
28 6 581
49 935
42 0 518
68 337 935
27 77 935
25 361 935
24 0 407
29 4 282
12 0 802
56 43 513
8 252 808
11 161 935
31 0 770
0 0 627
36 329 557
16 194 935
49 0 803
19 287 631
18 122 935
61 403 935
20 392 935
1 0 548
52 0 891
62 259 493
64 0 733
33 38 935
9 17 935
67 568 872
37 0 698
71 0 893
38 0 654
34 0 638
70 140 935
2 0 750
13 256 935
17 476 935
40 155 591
26 565 760
22 0 778
55 66 935
26 0 538
15 89 847
54 570 833
60 98 935
43 208 495
53 357 935
5 425 935
7 155 701
23 95 494
65 516 935
41 354 700
25 633
27 0 595
18 0 425
41 309 633
58 412 633
60 31 500
9 145 291
22 272 633
24 159 633
46 109 633
7 0 366
3 0 357
16 150 633
1 0 434
53 343 633
30 270 633
20 0 519
62 119 633
17 82 633
49 0 486
57 0 423
8 268 633
4 478 633
5 239 633
28 0 497
66 0 585
27 30
45 6 29
33 0 19
46 13 30
36 0 22
2 16 25
1 2 30
15 0 27
37 0 30
8 1 15
30 19 30
5 22 30
40 10 30
32 0 22
11 7 30
12 2 30
42 0 17
29 22 30
7 2 30
22 20 26
46 4 11
44 0 29
38 0 29
16 0 21
25 8 30
9 17 30
10 18 25
23 0 16
14 887
32 0 831
4 164 887
6 334 887
29 0 858
17 0 867
75 479 887
54 79 632
101 199 887
7 161 737
105 496 748
52 203 887
107 392 887
41 0 848
64 378 887
41 963
12 676 963
15 112 610
69 354 963
3 159 963
1 88 418
4 0 833
24 380 728
63 480 744
38 272 963
61 271 870
24 36 347
55 118 963
47 330 963
71 0 739
18 32 737
14 0 839
48 0 963
9 0 518
57 354 886
11 0 963
35 0 833
20 79 963
45 645 922
41 201 963
29 157 963
60 0 518
59 180 963
32 280 963
31 0 810
64 34 963
36 101 956
5 0 472
68 0 459
37 89 963
51 0 920
40 0 658
65 0 617
8 138 886
23 0 877
19 0 855
58 97 963
28 480
37 55 480
30 45 480
40 279 480
39 165 480
25 0 242
16 49 480
32 0 359
4 0 477
3 50 480
24 0 390
12 52 480
36 0 460
22 0 422
31 4 480
18 78 461
13 54 480
10 0 424
19 79 480
27 0 441
17 322 480
43 158 480
35 0 299
0 143 362
5 0 336
26 0 277
20 0 458
9 0 439
34 248 480
50 875
79 0 821
99 142 875
101 0 592
109 0 590
11 182 875
76 0 785
61 101 875
21 200 875
68 415 875
77 0 554
104 0 621
92 107 519
72 99 875
89 0 681
63 164 875
106 26 391
32 0 732
41 126 875
86 349 703
94 0 623
84 0 634
23 588 839
25 0 270
103 0 535
55 531 875
43 0 667
51 0 493
40 220 809
26 0 653
75 46 826
17 493 859
42 158 670
14 69 875
5 0 748
96 97 875
93 0 871
65 0 861
24 36 875
62 0 801
44 199 875
73 0 703
9 0 648
27 121 875
49 0 875
60 0 713
98 0 694
30 232 875
102 638 875
4 309 875
88 491 875
50 100000
0 1 100000
1 0 99999
2 1 100000
3 0 99999
4 1 100000
5 0 99999
6 1 100000
7 0 99999
8 1 100000
9 0 99999
10 1 100000
11 0 99999
12 1 100000
13 0 99999
14 1 100000
15 0 99999
16 1 100000
17 0 99999
18 1 100000
19 0 99999
20 1 100000
21 0 99999
22 1 100000
23 0 99999
24 1 100000
25 0 99999
26 1 100000
27 0 99999
28 1 100000
29 0 99999
30 1 100000
31 0 99999
32 1 100000
33 0 99999
34 1 100000
35 0 99999
36 1 100000
37 0 99999
38 1 100000
39 0 99999
40 1 100000
41 0 99999
42 1 100000
43 0 99999
44 1 100000
45 0 99999
46 1 100000
47 0 99999
48 1 100000
49 0 99999
1 1
0 0 1
9 724
12 342 724
6 242 724
13 350 672
16 29 724
28 270 554
10 64 724
27 0 706
20 181 724
2 17 724
35 264
101 150 264
25 3 185
41 87 264
1 9 264
69 139 208
23 13 87
87 90 264
31 0 180
64 0 255
76 0 220
17 88 264
37 86 264
44 48 264
14 0 200
26 54 264
4 69 264
9 24 264
21 0 205
94 0 116
6 91 264
102 0 182
27 0 233
77 63 264
29 0 111
38 0 225
0 0 176
81 155 264
96 85 264
57 68 264
100 0 221
7 175 264
13 51 264
85 0 115
60 14 264
47 0 188
50 98284
100000 5458 98284
64300 20582 98284
68536 0 71714
77429 38856 89272
98653 37320 98284
65306 0 87157
3805 0 52238
72459 0 58299
78865 0 86428
39435 16623 54774
11897 33115 98284
34572 0 23141
32250 62365 98284
10260 21091 98284
84169 36211 98284
25176 0 74258
39473 3334 86649
7089 23866 98284
55172 60001 98284
50531 32090 98284
99168 0 59733
51628 18641 98284
7660 0 93802
7183 0 82741
79718 14069 98284
25543 0 57058
23496 0 86069
17746 13062 98284
2110 5704 98284
46688 0 97748
76153 54340 77074
3376 2564 75286
98967 6405 98284
23138 7291 98284
24567 31205 98284
89293 46514 98284
28988 0 59831
8648 0 94160
10362 0 76400
52343 9819 98284
95982 24608 70273
79937 0 94564
70490 9285 98284
80488 0 40632
40116 39687 96962
74238 14411 98284
20551 61517 88444
79861 4588 98284
1714 9369 98284
41989 16633 98284
6 565
0 0 525
28 142 565
18 201 397
25 0 360
33 190 364
16 113 336
43 233
74 9 233
52 16 233
5 0 222
6 0 162
76 0 182
34 118 233
38 0 222
27 0 196
56 105 233
77 39 233
75 56 233
46 0 233
81 0 178
82 132 233
22 54 103
8 84 150
51 104 233
36 0 111
13 0 200
65 67 233
32 33 233
69 0 163
66 10 233
44 15 233
31 3 233
10 0 83
58 35 233
