Case #1: Impossible
Case #2: 427
1 5 149359
1 6 239009
1 8 205540
1 10 131811
1 11 125644
1 12 241730
1 13 265981
1 17 127427
1 18 172647
1 20 254905
1 22 125616
1 23 132262
1 24 241229
1 26 182391
1 28 193447
1 29 96736
1 32 147048
1 35 220531
1 41 160160
1 42 243122
2 5 186381
2 7 249022
2 8 262205
2 10 254900
2 14 173117
2 16 138745
2 18 155513
2 19 145518
2 20 123268
2 22 104878
2 23 115128
2 24 255367
2 26 48103
2 31 181116
2 32 131731
2 34 187771
2 37 142899
2 38 128213
2 41 203013
2 42 280144
2 43 222048
3 7 171219
3 11 146163
3 12 270250
3 14 179629
3 15 174784
3 16 130243
3 17 183825
3 21 105135
3 23 106626
3 24 260354
3 30 195647
3 37 65096
3 39 120908
3 42 271642
3 43 233634
4 5 140133
4 6 116806
4 7 187205
4 11 83519
4 12 232504
4 14 141883
4 16 92497
4 17 142274
4 19 102874
4 20 158769
4 21 67389
4 23 68880
4 24 147076
4 25 60432
4 26 119009
4 28 39729
4 29 87510
4 32 23440
4 33 38398
4 39 51428
5 6 194896
5 10 201895
5 14 103819
5 15 156307
5 17 108015
5 19 122143
5 24 91870
5 25 79701
5 26 138278
5 27 84557
5 29 52623
5 30 175238
5 35 257543
5 38 101234
5 39 174060
5 40 97162
5 42 199009
5 43 157579
6 8 270720
6 11 161440
6 15 178312
6 18 164028
6 19 154033
6 20 131783
6 22 113393
6 25 115195
6 29 142273
6 30 212664
6 32 140246
6 33 155204
6 37 151414
6 39 168234
6 43 230563
6 44 234659
7 10 111240
7 14 159237
7 21 192436
7 22 187281
7 23 193927
7 25 185479
7 27 21221
7 31 222301
7 33 195493
7 35 288592
7 36 172150
7 38 207012
7 41 228221
7 44 159652
8 12 330020
8 14 201113
8 15 232131
8 16 136394
8 17 205309
8 19 187657
8 21 152172
8 22 157327
8 28 259290
8 30 201798
8 34 186459
8 38 180662
8 39 253488
8 40 176590
8 42 235846
8 43 118045
8 44 122141
9 12 318138
9 14 227517
9 16 178131
9 17 227908
9 19 188508
9 23 154514
9 27 251618
9 28 45905
9 37 166716
9 38 167599
9 42 319530
9 43 248067
9 44 252163
10 11 227757
10 12 294266
10 13 230877
10 15 208115
10 16 205164
10 17 131580
10 19 222214
10 20 247597
10 21 186729
10 24 223128
10 29 206850
10 30 139760
10 34 112730
10 37 217363
10 38 201305
10 39 198037
10 40 197233
10 41 116981
11 13 190152
11 16 80050
11 17 115736
11 18 96818
11 19 87717
11 20 179076
11 22 49787
11 23 39537
11 24 163826
11 25 47985
11 27 212243
11 38 34596
11 41 174120
11 43 183441
11 44 179345
12 13 213763
12 14 196190
12 18 220905
12 19 214514
12 20 126259
12 21 179029
12 23 180520
12 24 184241
12 25 172072
12 28 272233
12 32 225834
12 35 165172
12 37 261830
12 38 193605
12 40 189533
12 41 225543
12 42 291380
12 43 249950
13 16 174232
13 17 204408
13 18 123503
13 23 150615
13 25 142167
13 28 180503
13 29 169245
13 31 173725
13 33 182176
13 34 223258
13 37 139254
13 41 237781
13 42 315631
13 44 190657
14 16 113516
14 17 4196
14 20 202383
14 21 74494
14 26 125014
14 27 174390
14 28 181612
14 30 178512
14 31 116439
14 33 130166
14 36 126828
14 38 85336
14 42 254915
14 44 87164
15 17 158649
15 19 115444
15 23 85054
15 27 197380
15 28 101235
15 30 168938
15 31 116567
15 35 212478
15 36 46451
15 39 99912
15 40 94067
15 42 250070
16 17 117712
16 18 80898
16 20 163156
16 21 39022
16 23 40513
16 25 32065
16 26 90642
16 29 59143
16 30 65404
16 36 77442
16 37 143469
16 40 49526
16 43 160848
17 18 134480
17 20 198187
17 21 78690
17 22 83845
17 23 94095
17 27 176262
17 28 182003
17 33 134362
17 35 220300
17 39 90846
17 42 259111
18 19 91275
18 33 97548
18 39 71563
18 42 222297
18 43 184289
18 44 180193
19 22 40640
19 23 48180
19 26 97415
19 28 142603
19 30 139911
19 39 136801
19 41 205553
20 23 139539
20 25 131091
20 27 157578
20 28 198498
20 30 199443
20 33 167063
20 40 148552
21 22 5155
21 25 6957
21 29 34035
21 31 122713
21 35 230439
21 36 52334
21 37 118361
21 38 28490
21 39 101316
21 40 24418
21 41 170068
21 44 138317
22 23 10250
22 24 160374
22 28 101963
22 29 28880
22 34 94303
22 35 225284
22 37 113206
22 42 175266
22 44 133162
23 24 170624
23 25 8448
23 26 67025
23 29 35526
23 32 62210
23 35 231930
23 37 119852
23 39 102807
23 41 171559
23 43 143904
24 25 162176
24 26 217149
24 27 176427
24 29 144493
24 32 123636
24 39 185482
24 40 179637
24 41 237677
24 42 198504
25 26 58577
25 27 164258
25 29 27078
25 33 48715
25 34 96105
25 35 223482
25 36 45377
25 37 111404
25 39 94359
25 41 163111
25 43 135456
25 44 131360
26 28 158738
26 29 85655
26 31 174333
26 32 112339
26 34 139668
26 35 202658
26 38 80110
26 39 152936
26 41 221688
26 42 232041
26 43 194033
27 34 173722
27 36 150929
27 37 84902
27 39 204390
27 40 181719
27 42 283566
27 44 180873
28 32 63169
28 34 196266
28 35 237581
28 38 121694
28 39 91157
28 40 117622
28 44 206258
29 30 124547
29 32 80840
29 37 138482
29 40 44539
29 41 169182
29 42 146386
30 32 151231
30 33 146184
30 35 228480
30 36 142846
30 37 208873
30 38 119002
30 40 114930
30 42 115136
31 33 81119
31 34 131093
31 35 257655
31 36 74858
31 37 140885
31 39 21397
31 42 207970
31 44 154508
32 37 74412
32 39 61846
32 40 71223
32 41 114041
32 42 227226
32 43 138993
33 35 206140
33 36 23343
33 38 70248
33 40 66176
33 42 222179
33 43 170721
34 35 201450
34 38 99990
34 41 141079
34 43 68414
34 44 72510
35 37 248824
35 38 245015
35 39 236258
35 41 60371
35 42 343616
36 42 218841
36 43 147378
37 39 119488
37 42 284868
37 43 213405
38 40 4072
38 43 156989
38 44 152893
39 41 175887
39 42 186573
39 44 175905
40 41 180572
40 43 152917
41 42 283245
42 43 210580
42 44 206484
43 44 4096
Case #3: 4
3 19 699224
5 6 768302
7 18 841406
18 20 117689
Case #4: Impossible
Case #5: 266
1 4 294746
1 5 179405
1 6 139720
1 7 282454
1 9 258021
1 10 301267
1 11 187282
1 12 207249
1 13 96023
1 14 201581
1 15 262908
1 17 305334
1 18 222243
1 20 207420
1 22 231096
1 24 182730
1 25 192947
1 26 132962
1 27 197171
1 29 287684
2 3 288699
2 4 237197
2 7 141785
2 8 179592
2 9 256314
2 10 275786
2 11 73248
2 13 261429
2 14 60912
2 16 44145
2 18 173558
2 19 130875
2 20 181939
2 21 221188
2 22 217915
2 24 302957
2 25 135398
2 26 107481
3 4 157589
3 5 311811
3 6 283212
3 7 253540
3 8 291895
3 9 277069
3 10 116905
3 11 330774
3 12 140889
3 13 302432
3 14 237946
3 16 332844
3 17 42804
3 18 274285
3 19 231602
3 20 289634
3 22 302048
3 23 221175
3 24 215725
3 26 215176
3 28 249720
4 7 202038
4 8 135527
4 9 119480
4 10 274494
4 11 310445
4 12 298478
4 13 281478
4 14 282911
4 16 281342
4 18 222783
4 20 239156
4 21 187589
4 22 416551
4 23 318063
4 24 230021
4 28 274431
5 6 163063
5 7 182075
5 8 309248
5 10 283032
5 11 210625
5 12 285314
5 14 101202
5 15 209034
5 16 206259
5 18 250420
5 21 340035
5 25 254245
6 8 153906
6 9 267059
6 10 250100
6 12 156082
6 14 61861
6 16 69831
6 17 254167
6 19 105189
6 20 156253
6 21 215701
6 23 75796
6 24 277271
6 25 161084
6 27 134006
6 29 206927
7 8 238833
7 9 321518
7 10 341918
7 12 298816
7 13 305363
7 14 80873
7 15 188705
7 17 296344
7 19 178540
7 20 298987
7 21 186029
7 24 334243
7 25 100239
7 26 224529
7 28 176226
7 29 323026
8 9 222163
8 10 360562
8 13 230108
8 14 215767
8 15 264670
8 18 102976
8 19 60293
8 20 266715
8 21 224384
8 22 297641
8 24 316815
8 27 256466
8 28 138904
8 29 209189
9 11 314621
9 13 161998
9 15 347743
9 18 204553
